Fwd Packet Length Min,Fwd Packet Length Mean,Flow IAT Mean,Fwd IAT Max,Bwd Packets/s,Packet Length Min,Avg Fwd Segment Size,Label,Class
31.0,31.0,6962.0,48.0,95.75793,31.0,31.0,Benign,Benign
516.0,516.0,1199536.2,2999374.0,0.0,516.0,516.0,TFTP,Attack
25.0,25.0,6897.0,4.0,96.660385,25.0,25.0,Benign,Benign
516.0,516.0,1200344.4,3003172.0,0.0,516.0,516.0,TFTP,Attack
516.0,516.0,1200037.0,3000132.0,0.0,516.0,516.0,TFTP,Attack
6.0,27.0,273.33334,816.0,0.0,6.0,27.0,Benign,Benign
0.0,0.0,38.0,0.0,26315.79,0.0,0.0,Benign,Benign
45.0,45.0,8390.333,3.0,79.45652,45.0,45.0,Benign,Benign
0.0,120.57143,47100.5,321726.0,5.3077993,0.0,120.57143,Benign,Benign
47.0,47.0,6972.6665,1.0,95.611435,47.0,47.0,Benign,Benign
516.0,516.0,1285645.9,3006407.0,0.0,516.0,516.0,TFTP,Attack
440.0,440.0,22.387754,202.0,0.0,440.0,440.0,DrDoS_NTP,Attack
34.0,34.0,7103.3335,3.0,93.85265,34.0,34.0,Benign,Benign
0.0,0.0,50.5,0.0,19801.98,0.0,0.0,Benign,Benign
516.0,516.0,1001535.3,3004603.0,0.0,516.0,516.0,TFTP,Attack
440.0,440.0,4.276382,41.0,0.0,440.0,440.0,DrDoS_NTP,Attack
38.0,38.0,6872.6665,5.0,97.00262,38.0,38.0,Benign,Benign
42.0,42.0,6869.6665,3.0,97.04498,42.0,42.0,Benign,Benign
6.0,6.0,13086.0,0.0,76.41755,6.0,6.0,Benign,Benign
0.0,0.0,90.0,0.0,11111.111,0.0,0.0,Benign,Benign
0.0,232.38235,201336.36,10078973.0,2.8336306,0.0,232.38235,Benign,Benign
0.0,30.75,82.333336,244.0,0.0,0.0,30.75,Benign,Benign
516.0,516.0,1285767.6,3000337.0,0.0,516.0,516.0,TFTP,Attack
31.0,31.0,7043.0,3.0,94.65663,31.0,31.0,Benign,Benign
516.0,516.0,1200160.6,3005606.0,0.0,516.0,516.0,TFTP,Attack
0.0,86.90909,3005528.8,58910612.0,0.15356316,0.0,86.90909,Benign,Benign
6.0,6.0,4011196.0,13123432.0,0.045327675,6.0,6.0,Syn,Attack
6.0,6.0,4165730.2,14904697.0,0.06401439,6.0,6.0,Syn,Attack
368.0,437.75,7.269841,50.0,0.0,368.0,437.75,DrDoS_NTP,Attack
0.0,0.0,1805804.2,6015573.0,0.0,0.0,0.0,Benign,Benign
516.0,516.0,1333543.5,3001839.0,0.0,516.0,516.0,TFTP,Attack
42.0,42.0,7107.0,3.0,93.80423,42.0,42.0,Benign,Benign
