Fwd Packet Length Min,Fwd Packet Length Mean,Flow IAT Mean,Fwd IAT Max,Bwd Packets/s,Packet Length Min,Avg Fwd Segment Size,Label,Class
6.0,6.0,28123.0,0.0,35.558083,6.0,6.0,Benign,Benign
37.0,37.0,7621.0,3.0,87.477585,37.0,37.0,Benign,Benign
46.0,46.0,6958.6665,3.0,95.803795,46.0,46.0,Benign,Benign
0.0,0.0,2408712.0,10243970.0,0.19536924,0.0,0.0,Benign,Benign
516.0,516.0,1000085.0,3000252.0,0.0,516.0,516.0,TFTP,Attack
0.0,0.0,1.0,1.0,0.0,0.0,0.0,Benign,Benign
0.0,0.0,840554.0,5002304.0,0.39656386,0.0,0.0,Benign,Benign
42.0,42.0,14949.667,2.0,44.59408,42.0,42.0,Benign,Benign
322.0,342.33334,47778.4,120007.0,0.0,322.0,342.33334,UDP,Attack
43.0,43.0,6951.6665,1.0,95.90026,43.0,43.0,Benign,Benign
0.0,0.0,38589.0,0.0,25.91412,0.0,0.0,Benign,Benign
38.0,38.0,14944.667,3.0,44.609,38.0,38.0,Benign,Benign
0.0,0.0,42.5,0.0,23529.412,0.0,0.0,Benign,Benign
80.0,418.82352,15.787879,67.0,0.0,80.0,418.82352,DrDoS_NTP,Attack
330.0,359.5,35967.0,107899.0,0.0,330.0,359.5,UDP,Attack
330.0,349.5,35276.0,105779.0,0.0,330.0,349.5,DrDoS_UDP,Attack
440.0,440.0,72.695946,3301.0,0.0,440.0,440.0,DrDoS_NTP,Attack
516.0,516.0,999345.0,2998033.0,0.0,516.0,516.0,TFTP,Attack
0.0,0.95238096,2382399.2,10187416.0,0.20987247,0.0,0.95238096,Benign,Benign
50.0,50.0,15061.333,3.0,44.263454,50.0,50.0,Benign,Benign
0.0,0.0,63.5,107.0,7874.0156,0.0,0.0,Benign,Benign
321.0,348.0,43359.8,110119.0,0.0,321.0,348.0,UDP,Attack
6.0,6.0,5583245.0,14290605.0,0.0,6.0,6.0,Syn,Attack
80.0,427.14285,10.763637,132.0,0.0,80.0,427.14285,DrDoS_NTP,Attack
47.0,47.0,6851.0,2.0,97.309395,47.0,47.0,Benign,Benign
43.0,43.0,7000.6665,3.0,95.22903,43.0,43.0,Benign,Benign
440.0,440.0,26.44,353.0,0.0,440.0,440.0,DrDoS_NTP,Attack
0.0,38.8,3842.0,23045.0,86.76037,0.0,38.8,Benign,Benign
0.0,0.0,11404.0,4.0,58.45902,0.0,0.0,Benign,Benign
31.0,31.0,6906.3335,3.0,96.529755,31.0,31.0,Benign,Benign
41.0,41.0,6916.0,3.0,96.39484,41.0,41.0,Benign,Benign
330.0,349.5,35712.0,107089.0,0.0,330.0,349.5,DrDoS_UDP,Attack
80.0,388.57144,421.69232,4908.0,0.0,80.0,388.57144,DrDoS_NTP,Attack
39.0,39.0,6962.3335,3.0,95.75334,39.0,39.0,Benign,Benign
440.0,440.0,11.64,50.0,0.0,440.0,440.0,DrDoS_NTP,Attack
31.0,31.0,15295.333,2.0,43.58628,31.0,31.0,Benign,Benign
224.0,428.0,240.31429,2018.0,0.0,224.0,428.0,DrDoS_NTP,Attack
516.0,516.0,1000111.0,3000332.0,0.0,516.0,516.0,TFTP,Attack
50.0,50.0,6888.3335,2.0,96.782,50.0,50.0,Benign,Benign
25.0,25.0,6971.6665,2.0,95.62515,25.0,25.0,Benign,Benign
6.0,32.25,81.333336,240.0,0.0,6.0,32.25,Benign,Benign
0.0,0.0,799025.44,3.0,1.1124663,0.0,0.0,Benign,Benign
0.0,0.0,5114683.0,18580280.0,0.055861585,0.0,0.0,UDP-lag,Attack
0.0,0.0,816508.56,3.0,1.0886462,0.0,0.0,Benign,Benign
33.0,33.0,6847.6665,3.0,97.356766,33.0,33.0,Benign,Benign
440.0,440.0,39.673683,172.0,0.0,440.0,440.0,DrDoS_NTP,Attack
0.0,0.0,55.0,0.0,18181.818,0.0,0.0,Benign,Benign
440.0,440.0,82.23618,1030.0,0.0,440.0,440.0,DrDoS_NTP,Attack
504.0,504.0,1.0,1.0,0.0,504.0,504.0,MSSQL,Attack
440.0,440.0,20.12,244.0,0.0,440.0,440.0,DrDoS_NTP,Attack
1.0,1.0,9329.667,2.0,71.45664,0.0,1.0,Benign,Benign
6.0,6.0,5334078.5,18845902.0,0.03408615,6.0,6.0,Syn,Attack
516.0,516.0,999407.7,2998220.0,0.0,516.0,516.0,TFTP,Attack
6.0,6.0,5175377.0,24558832.0,0.055206466,6.0,6.0,Syn,Attack
0.0,191.09525,58412.97,4048722.0,9.883414,0.0,191.09525,Benign,Benign
0.0,0.0,5753633.5,15138309.0,0.0,0.0,0.0,UDP-lag,Attack
6.0,6.0,73.5,0.0,13605.442,6.0,6.0,Benign,Benign
224.0,431.69232,6.254902,58.0,0.0,224.0,431.69232,DrDoS_NTP,Attack
6.0,6.0,2799368.5,13996687.0,0.14288938,6.0,6.0,Syn,Attack
0.0,30.75,117.666664,350.0,0.0,0.0,30.75,Benign,Benign
691.0,691.0,1.0,1.0,0.0,691.0,691.0,DrDoS_DNS,Attack
0.0,265.17648,1717987.5,58410510.0,0.29959816,0.0,265.17648,Benign,Benign
38.0,38.0,7107.6665,2.0,93.79543,38.0,38.0,Benign,Benign
0.0,0.0,82.0,0.0,12195.122,0.0,0.0,Benign,Benign
330.0,359.5,36580.0,109738.0,0.0,330.0,359.5,UDP,Attack
516.0,516.0,1012878.0,3038631.0,0.0,516.0,516.0,TFTP,Attack
1472.0,1472.0,1.0,1.0,0.0,1472.0,1472.0,DrDoS_SNMP,Attack
330.0,349.5,34697.668,104091.0,0.0,330.0,349.5,DrDoS_UDP,Attack
6.0,6.0,99.5,0.0,10050.251,6.0,6.0,Benign,Benign
0.0,23.0,8243.8,41215.0,48.521313,0.0,23.0,Benign,Benign
0.0,47.63768,41431.914,9806240.0,15.806941,0.0,47.63768,Benign,Benign
33.0,33.0,7012.0,2.0,95.07511,33.0,33.0,Benign,Benign
0.0,0.0,99.0,0.0,10101.01,0.0,0.0,Benign,Benign
516.0,516.0,1000000.7,3000000.0,0.0,516.0,516.0,TFTP,Attack
152.0,404.0,32.933334,201.0,0.0,152.0,404.0,DrDoS_NTP,Attack
0.0,0.0,54.0,0.0,18518.518,0.0,0.0,Benign,Benign
0.0,0.0,21719.0,0.0,46.042637,0.0,0.0,Benign,Benign
224.0,434.97675,4.6941175,48.0,0.0,224.0,434.97675,DrDoS_NTP,Attack
0.0,108.90909,313742.84,5110822.0,1.4165883,0.0,108.90909,Benign,Benign
44.0,44.0,15030.0,3.0,44.355732,44.0,44.0,Benign,Benign
516.0,516.0,1001215.0,3003642.0,0.0,516.0,516.0,TFTP,Attack
0.0,0.0,800760.56,11.0,1.1100558,0.0,0.0,Benign,Benign
0.0,0.0,800499.56,3.0,1.1104177,0.0,0.0,Benign,Benign
31.0,31.0,6999.3335,2.0,95.24717,31.0,31.0,Benign,Benign
0.0,0.0,31.5,60.0,0.0,0.0,0.0,Benign,Benign
516.0,516.0,1000614.7,3001840.0,0.0,516.0,516.0,TFTP,Attack
516.0,516.0,1001989.7,3005967.0,0.0,516.0,516.0,TFTP,Attack
330.0,359.5,35945.668,107835.0,0.0,330.0,359.5,UDP,Attack
0.0,0.0,24.75,0.0,40404.04,0.0,0.0,Benign,Benign
0.0,0.0,149.5,297.0,0.0,0.0,0.0,Benign,Benign
0.0,0.0,939179.5,5594117.0,0.35491973,0.0,0.0,Benign,Benign
