Fwd Packet Length Min,Fwd Packet Length Mean,Flow IAT Mean,Fwd IAT Max,Bwd Packets/s,Packet Length Min,Avg Fwd Segment Size,Label,Class
296.0,422.0,16.2,141.0,0.0,296.0,422.0,DrDoS_NTP,Attack
25.0,25.0,6975.3335,1.0,95.57488,25.0,25.0,Benign,Benign
516.0,516.0,999398.3,2998193.0,0.0,516.0,516.0,TFTP,Attack
0.0,70.53846,2441619.0,58250736.0,0.19624956,0.0,70.53846,Benign,Benign
514.0,514.0,1.0,1.0,0.0,514.0,514.0,DrDoS_MSSQL,Attack
422.0,422.0,1.0,1.0,0.0,422.0,422.0,DrDoS_MSSQL,Attack
0.0,1007.3409,607445.0,10030836.0,0.84161687,0.0,1007.3409,Benign,Benign
440.0,440.0,30.572865,303.0,0.0,440.0,440.0,DrDoS_NTP,Attack
0.0,105.0625,6581.1924,57296.0,64.28576,0.0,105.0625,Benign,Benign
6.0,6.0,4801434.5,22000126.0,0.03786747,6.0,6.0,Syn,Attack
0.0,31.95283,510169.34,10368017.0,1.06529,0.0,31.95283,Benign,Benign
440.0,440.0,12.484848,198.0,0.0,440.0,440.0,DrDoS_NTP,Attack
516.0,516.0,999800.3,2999398.0,0.0,516.0,516.0,TFTP,Attack
6.0,6.0,82.0,0.0,12195.122,6.0,6.0,Benign,Benign
0.0,248.27118,1027050.0,58667812.0,0.47829032,0.0,248.27118,Benign,Benign
35.0,35.0,18118.666,1.0,36.794468,35.0,35.0,Benign,Benign
33.0,33.0,7154.6665,3.0,93.179276,33.0,33.0,Benign,Benign
6.0,6.0,18547.666,0.0,53.91514,6.0,6.0,Benign,Benign
6.0,6.0,4760412.0,21509784.0,0.07638758,6.0,6.0,Syn,Attack
6.0,6.0,4409490.5,13999958.0,0.041233376,6.0,6.0,Syn,Attack
0.0,74.6,854386.1,9805504.0,0.5852155,0.0,74.6,Benign,Benign
440.0,440.0,154.88742,2689.0,0.0,440.0,440.0,DrDoS_NTP,Attack
504.0,504.0,1.0,1.0,0.0,504.0,504.0,MSSQL,Attack
6.0,6.0,2300802.0,15019720.0,0.18897003,6.0,6.0,Syn,Attack
516.0,516.0,999880.7,2999640.0,0.0,516.0,516.0,TFTP,Attack
43.0,43.0,43014.668,3.0,15.4985895,43.0,43.0,Benign,Benign
321.0,348.0,42439.0,110035.0,0.0,321.0,348.0,UDP,Attack
44.0,44.0,6875.0,3.0,96.969696,44.0,44.0,Benign,Benign
0.0,0.0,2.0,3.0,0.0,0.0,0.0,Benign,Benign
51.0,51.0,6960.6665,2.0,95.77627,51.0,51.0,Benign,Benign
0.0,30.75,143.33333,425.0,0.0,0.0,30.75,Benign,Benign
41.0,41.0,18602.0,1.0,35.83844,41.0,41.0,Benign,Benign
32.0,32.0,6967.3335,3.0,95.68462,32.0,32.0,Benign,Benign
0.0,82.92593,111659.586,9997507.0,5.6131372,0.0,82.92593,Benign,Benign
440.0,440.0,21.333334,103.0,0.0,440.0,440.0,DrDoS_NTP,Attack
0.0,0.0,2.0,3.0,0.0,0.0,0.0,Benign,Benign
440.0,440.0,377.55554,1471.0,0.0,440.0,440.0,DrDoS_NTP,Attack
330.0,359.5,35945.668,107835.0,0.0,330.0,359.5,UDP,Attack
516.0,516.0,999707.3,2999120.0,0.0,516.0,516.0,TFTP,Attack
6.0,6.0,55191.0,0.0,18.118896,6.0,6.0,Benign,Benign
31.0,31.0,10707.667,1.0,62.260685,31.0,31.0,Benign,Benign
744.0,744.0,1.0,1.0,0.0,744.0,744.0,MSSQL,Attack
0.0,144.28572,140059.38,1065064.0,1.7849573,0.0,144.28572,Benign,Benign
0.0,0.0,0.5,1.0,0.0,0.0,0.0,Benign,Benign
736.0,736.0,1.0,1.0,0.0,736.0,736.0,LDAP,Attack
42.0,42.0,7010.3335,2.0,95.09771,42.0,42.0,Benign,Benign
0.0,0.0,8436.5,16871.0,0.0,0.0,0.0,Benign,Benign
0.0,0.0,5770.0,0.0,173.31023,0.0,0.0,Benign,Benign
6.0,27.0,273.33334,816.0,0.0,6.0,27.0,Benign,Benign
6.0,6.0,34.333332,48.0,19417.477,6.0,6.0,Syn,Attack
440.0,440.0,17.268293,307.0,0.0,440.0,440.0,DrDoS_NTP,Attack
25.0,25.0,6968.6665,1.0,95.66631,25.0,25.0,Benign,Benign
516.0,516.0,999922.0,2999763.0,0.0,516.0,516.0,TFTP,Attack
0.0,0.0,13610.333,0.0,73.47359,0.0,0.0,Benign,Benign
27.0,27.0,6957.3335,3.0,95.82215,27.0,27.0,Benign,Benign
440.0,440.0,24.146067,360.0,0.0,440.0,440.0,DrDoS_NTP,Attack
6.0,6.0,6179721.5,30089848.0,0.03595991,6.0,6.0,Syn,Attack
516.0,516.0,1000199.7,3000597.0,0.0,516.0,516.0,TFTP,Attack
80.0,420.0,6.0,50.0,0.0,80.0,420.0,DrDoS_NTP,Attack
0.0,0.0,2249300.0,9991034.0,0.0,0.0,0.0,Benign,Benign
516.0,516.0,36578.855,119885.0,0.0,516.0,516.0,TFTP,Attack
43.0,43.0,6863.6665,3.0,97.129814,43.0,43.0,Benign,Benign
516.0,516.0,1005772.7,3017315.0,0.0,516.0,516.0,TFTP,Attack
80.0,427.14285,23.981817,149.0,0.0,80.0,427.14285,DrDoS_NTP,Attack
6.0,6.0,6608966.0,20589796.0,0.0,6.0,6.0,Syn,Attack
6.0,6.0,261530.33,784541.0,0.0,6.0,6.0,Syn,Attack
36.0,36.0,18408.666,3.0,36.214825,36.0,36.0,Benign,Benign
152.0,398.85715,540.38464,6973.0,0.0,152.0,398.85715,DrDoS_NTP,Attack
0.0,0.0,26.0,0.0,38461.54,0.0,0.0,Benign,Benign
330.0,359.5,35087.332,105260.0,0.0,330.0,359.5,UDP,Attack
1464.0,1464.0,2.0,2.0,0.0,1464.0,1464.0,DrDoS_SNMP,Attack
1.0,1.0,2.0,2.0,0.0,1.0,1.0,Benign,Benign
6.0,6.0,4077327.5,22000176.0,0.07546421,6.0,6.0,Syn,Attack
322.0,342.33334,47778.4,120007.0,0.0,322.0,342.33334,UDP,Attack
0.0,95.57895,1651010.9,58291550.0,0.2900485,0.0,95.57895,Benign,Benign
31.0,31.0,18530.0,3.0,35.977695,31.0,31.0,Benign,Benign
440.0,440.0,40.8,104.0,0.0,440.0,440.0,DrDoS_NTP,Attack
0.0,0.0,119.5,0.0,8368.201,0.0,0.0,Benign,Benign
32.0,32.0,6959.6665,3.0,95.79003,32.0,32.0,Benign,Benign
296.0,392.0,2011.4,5663.0,0.0,296.0,392.0,DrDoS_NTP,Attack
0.0,0.0,50.0,0.0,20000.0,0.0,0.0,Benign,Benign
6.0,6.0,111.0,0.0,9009.009,6.0,6.0,Benign,Benign
6.0,6.0,3653348.0,19000076.0,0.0995351,6.0,6.0,Syn,Attack
516.0,516.0,1000087.7,3000261.0,0.0,516.0,516.0,TFTP,Attack
368.0,437.6,112.32204,1972.0,0.0,368.0,437.6,DrDoS_NTP,Attack
516.0,516.0,999837.7,2999512.0,0.0,516.0,516.0,TFTP,Attack
440.0,440.0,13.350515,144.0,0.0,440.0,440.0,DrDoS_NTP,Attack
41.0,41.0,20443.0,3.0,32.611,41.0,41.0,Benign,Benign
41.0,41.0,6850.0,3.0,97.3236,41.0,41.0,Benign,Benign
330.0,349.5,36358.0,109072.0,0.0,330.0,349.5,DrDoS_UDP,Attack
516.0,516.0,999538.3,2998614.0,0.0,516.0,516.0,TFTP,Attack
440.0,440.0,6.5384617,49.0,0.0,440.0,440.0,DrDoS_NTP,Attack
42.0,42.0,6896.3335,1.0,96.66973,42.0,42.0,Benign,Benign
29.0,29.0,15754.333,3.0,42.3164,29.0,29.0,Benign,Benign
0.0,0.0,4982249.0,16322444.0,0.036493193,0.0,0.0,Syn,Attack
0.0,0.0,7200471.5,22116904.0,0.0,0.0,0.0,UDP-lag,Attack
0.0,0.0,107881.664,0.0,9.269416,0.0,0.0,Benign,Benign
516.0,516.0,1042268.7,3126804.0,0.0,516.0,516.0,TFTP,Attack
516.0,516.0,1002593.0,3007777.0,0.0,516.0,516.0,TFTP,Attack
345.0,364.5,36664.668,109991.0,0.0,345.0,364.5,UDP,Attack
0.0,0.0,41833.0,0.0,23.904573,0.0,0.0,Benign,Benign
0.0,0.0,118.0,0.0,8474.576,0.0,0.0,Benign,Benign
0.0,86.90909,2994306.8,58468416.0,0.15413867,0.0,86.90909,Benign,Benign
516.0,516.0,999794.0,2999380.0,0.0,516.0,516.0,TFTP,Attack
32.0,32.0,6981.3335,3.0,95.492744,32.0,32.0,Benign,Benign
47.0,47.0,6867.6665,2.0,97.07324,47.0,47.0,Benign,Benign
0.0,127.1,300815.25,5068568.0,1.5643764,0.0,127.1,Benign,Benign
6.0,6.0,3.0,3.0,0.0,6.0,6.0,Benign,Benign
0.0,0.0,77.0,0.0,12987.013,0.0,0.0,Benign,Benign
